x,y,z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.18435650179711155,0.01884767002949218,0.023324245942289882
0.49279859373110513,0.020204429375017804,0.013922391636328704
0.37729262712223466,-0.02399790715994056,-0.06549103215863161
0.20470330583764845,-0.04366844003883865,-0.09587703152467392
0.07266042793586927,-0.034109378399138336,-0.07271793441920618
0.011698607734236493,-0.012942970454305888,-0.029922406047797577
6.532344337822935e-06,-7.778405809078992e-05,-0.0004707526113548714
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
